State,Arrivals,Population('000),Area(KM2),Year,ArrivalsPerKM2,
Pahang,10980904.00,1647,36137,2017,303.8687218,
Terengganu,1809345.00,1208,13035,2017,138.8066743,
Kelantan,1201120.00,1829,15099,2017,79.54963905,
Sabah,6741070.00,3855.9,73631,2017,91.55206367,
W.P. Labuan,628741.00,97.6,49,2017,12831.44898,
Sarawak,5021598.00,2766.3,124450,2017,40.35032543,
W.P. Kuala Lumpur,16151482.00,1789.7,243,2016,66467.00412,
W.P. Putrajaya,504374.00,84.4,49,2016,10293.34694,
Selangor,4064269.00,6291.5,8104,2016,501.5139437,
Pulau Pinang,6379185.00,1717.7,1048,2016,6087.008588,
Perak,2593491.00,2482.1,21035,2016,123.2940813,
Kedah,3755875.00,2119.7,9500,2016,395.3552632,
Perlis,176666.00,251,821,2016,215.183922,
Negeri Sembilan,2362064.00,1099.3,6686,2016,353.2850733,
Melaka,4645164.00,901.1,1664,2016,2791.564904,
Johor,7013784.00,3651.8,19210,2016,365.111088,
Pahang,10300117.00,1626.7,36137,2016,285.0296649,
Terengganu,1708865.00,1183.4,13035,2016,131.0981972,
Kelantan,1196685.00,1796.7,15099,2016,79.25591099,
Sabah,6173000.00,3802.8,73631,2016,83.83697084,
W.P. Labuan,651475.00,96.8,49,2016,13295.40816,
Sarawak,4669632.00,2738.7,124450,2016,37.52215348,
